1,Ruckus,Positive Turbulence,"""They treat every idea as if it was meant for their own business, spending the time to understand what exactly it is...""",5.0,7,"$25,000",$150 - $199 / hr,10 - 49,"New York,
NY",service_focus,https://clutch.co/profile/ruckus,http://www.ruckusmarketing.com/?utm_source=Clutch.co&utm_medium=Directory&utm_term=Clutch.co&utm_content=Clutch.co&utm_campaign=Clutch.co
2,Matchstic,A Brand Identity House,"""Matchstic did an excellent job of conveying the lifestyle of the property instead of focusing on the real estate asp...""",4.8,7,"$5,000",$150 - $199 / hr,10 - 49,"Atlanta,
GA",service_focus,https://clutch.co/profile/matchstic,http://matchstic.com
3,Gershoni Creative Agency,Design in conversation with strategy.,"""Gershoni has a history of great delivery.""",5.0,3,Undisclosed,Undisclosed,10 - 49,"San Francisco,
CA",service_focus,https://clutch.co/profile/gershoni-creative-agency,http://www.gershoni.com
5,JJR Marketing Inc.,Your Brand in the Media,"""I never look at JJR as though we made the wrong choice. I'm very comfortable with them.""",4.8,6,"$10,000",$150 - $199 / hr,10 - 49,"Naperville,
IL",service_focus,https://clutch.co/profile/jjr-marketing,http://www.jjrmarketing.com
6,Sensis,A cross-cultural agency driving behavior change.,"""I think Sensis has done a fantastic job in helping us get the right message to the people we need to reach.""",5.0,3,Undisclosed,$150 - $199 / hr,50 - 249,"Los Angeles,
CA",service_focus,https://clutch.co/profile/sensis,http://www.sensisagency.com/
7,Killian Branding,Adapt. Evolve.,"""Killian Branding has put original thought and ideas into our product's execution.""",4.9,6,"$10,000",$200 - $300 / hr,10 - 49,"Chicago ,
IL",service_focus,https://clutch.co/profile/killian-branding,http://www.killianbranding.com
8,Fearless Media,The Millennial Agency,"""Fearless Media has been instrumental in terms of our ability to market massive hit and niche games alike.""",4.9,4,"$100,000",Undisclosed,10 - 49,"New York,
NY",service_focus,https://clutch.co/profile/fearless-media,http://www.Fearless-Media.com
9,Kiosk,Motivate audiences to action,"""I'm always blown away by Kiosk.""",5.0,3,"$10,000",$150 - $199 / hr,50 - 249,"Novato,
CA",service_focus,https://clutch.co/profile/kiosk,https://kiosk.tm
10,R6S,Break Away From Ordinary,"""Ever since we hired R6S we have grown.""",5.0,2,"$10,000",$100 - $149 / hr,10 - 49,"Calabasas,
CA",service_focus,https://clutch.co/profile/r6s,https://www.r6s.com/
11,Mistress,Navigating Brands Through Modern Media Culture,"""I felt like we were a brand that people cared about within the shop, and I had the highest quality people in that sh...""",4.8,2,"$100,000",$100 - $149 / hr,50 - 249,"Santa Monica,
CA",service_focus,https://clutch.co/profile/mistress,https://mistress.agency/
12,Tailfin,"Madison Avenue Smarts, Virginia Highland Soul","""Tailfin is a small but mighty group, and I find them incredibly easy to work with.""",5.0,2,Undisclosed,Undisclosed,10 - 49,"Atlanta,
GA",service_focus,https://clutch.co/profile/tailfin,http://www.tailfin.com
14,Forge Worldwide,Building deeper human connections.,"""Forge Worldwide demonstrated their interest in the business...""",4.8,2,Undisclosed,$150 - $199 / hr,10 - 49,"Boston,
MA",service_focus,https://clutch.co/profile/forge-worldwide,http://forgeworldwide.com
15,Speakeasy,Conversations that Convert.,"""They were always very responsive and very collaborative.""",4.6,7,"$10,000",$100 - $149 / hr,10 - 49,"Dallas,
TX",service_focus,https://clutch.co/profile/speakeasy,http://www.yourspeakeasy.com/
16,Frederick Swanston,full service ad agency,"""People have said that this is the best health-issue campaign they have seen.""",4.5,1,"$25,000",$150 - $199 / hr,10 - 49,"Alpharetta,
GA",service_focus,https://clutch.co/profile/frederick-swanston,http://frederickswanston.com
17,Hub Strategy and Communication,"Advertising, design, strategy, and production","""People were actually emailing us and tweeting at us, telling us to post our TV and radio ads because they thought th...""",5.0,2,"$25,000",$150 - $199 / hr,10 - 49,"San Francisco,
CA",service_focus,https://clutch.co/profile/hub-strategy-communication,http://hubsanfrancisco.com/
18,Coming of Age,The 50+ Marketing Agency,"""They excel at listening...""",4.7,3,"$25,000",$100 - $149 / hr,10 - 49,"Lisle,
IL",service_focus,https://clutch.co/profile/coming-age,http://www.comingofage.com
19,Wingman Advertising,To make our clients rich and mothers proud,"""They've created a unique campaign for us that does a good job setting us apart from our competitors...""",4.8,2,"$25,000",$150 - $199 / hr,10 - 49,"Marina del Rey,
CA",service_focus,https://clutch.co/profile/wingman-advertising,http://www.wingmanadv.com
20,UNIT partners LLC,"Branding Agency for Hospitality, Retail, & CPG.","""They are small, nimble, smart, creative, flexible, and they know their stuff.""",5.0,6,"$10,000",$150 - $199 / hr,2 - 9,"San Francisco,
CA",service_focus,https://clutch.co/profile/unit-partners,http://unitpartners.com
21,Greater Than One,Human Solutions for the Digital Age,"""I found them to be a strategic partner...""",5.0,2,"$10,000",$100 - $149 / hr,50 - 249,"New York,
NY",service_focus,https://clutch.co/profile/greater-one,http://greaterthanone.com
22,JB Chicago,We create customers.,"""They've worked hard to understand our business, and understand what I want, which is to take a fresh look and feel f...""",5.0,1,"$10,000",$150 - $199 / hr,10 - 49,"Chicago,
IL",service_focus,https://clutch.co/profile/jb-chicago,http://www.jbchicago.com/
23,Kapowza,A full-service creative agency in Baltimore,"""They did an excellent job of communicating.""",5.0,3,"$5,000",$100 - $149 / hr,2 - 9,"Baltimore,
MD",service_focus,https://clutch.co/profile/kapowza,http://kapowza.co
24,The O Group,The Creative Agency for Luxury,"""They are extremely responsive and very knowledgeable.""",5.0,4,"$100,000",$200 - $300 / hr,10 - 49,"New York,
NY",service_focus,https://clutch.co/profile/o-group,http://www.ogroup.net
25,The Byne Group,We help our clients work their brand.,"""I am always impressed with The Byne Group.""",4.9,8,Undisclosed,$100 - $149 / hr,2 - 9,"Suffern,
NY",service_focus,https://clutch.co/profile/byne-group,http://www.thebynegroup.com/
26,Morsekode,Brands That Groove,"""Their project management has been really strong and they do a terrific job of listening...""",5.0,2,"$10,000",$150 - $199 / hr,10 - 49,"Minneapolis,
MN",service_focus,https://clutch.co/profile/morsekode,http://morsekode.com/
28,Stanton & Company,Boutique sports and lifestyle marketing/PR agency,"""They took the budget that I gave them and added a ton of value to it.""",4.8,2,"$10,000",$100 - $149 / hr,2 - 9,"Marina Del Rey,
CA",service_focus,https://clutch.co/profile/stanton-company,http://stanton-company.com/
30,The Miller Group,Safe doesn't sell.,"""The Miller Group is a multi-talented team focused on quality research, interaction, planning, and creative presentat...""",5.0,3,"$25,000",$150 - $199 / hr,10 - 49,"Los Angeles,
CA",service_focus,https://clutch.co/profile/miller-group,http://www.millergroupmarketing.com
31,Miller Ad Agency,Advertising That Works,"""The performance that we received from them has correlated to relevant metrics that we can track...""",4.8,2,"$5,000",$25 - $49 / hr,10 - 49,"Dallas,
TX",service_focus,https://clutch.co/profile/miller-ad-agency,http://milleradagency.com/
32,Exit10,Own it.,"""I think Exit10 has an uncanny ability to sit down with us, and take my incoherent ramblings and come back with a des...""",5.0,2,"$10,000",$150 - $199 / hr,10 - 49,"Baltimore,
MD",service_focus,https://clutch.co/profile/exit10,http://www.exit10.com
34,True Voice Media,The Social Business Agency,"""True Voice Media has been a great partner for us. They helped us achieve what we were looking to achieve...""",4.5,3,"$10,000",$300+ / hr,10 - 49,"Philadelphia,
PA",service_focus,https://clutch.co/profile/true-voice-media,http://truevoicemedia.com
36,JUMBOshrimp,Big Ideas Don't Require Big Agencies.,"""They helped grow and invigorate the brand as well as helping us grow as a company.""",5.0,1,"$10,000",$100 - $149 / hr,10 - 49,"San Francisco,
CA",service_focus,https://clutch.co/profile/jumboshrimp,http://www.JUMBOshrimp.com
37,Ricochet Ideas,Aligning Internally. Communicating Externally,"""No. They are perfect...""",5.0,2,Undisclosed,$150 - $199 / hr,2 - 9,"Denver,
CO",service_focus,https://clutch.co/profile/ricochet-ideas,http://www.ricochetideas.com
39,Split An Atom,A British Integrated Marketing Agency,"""Split An Atom has enabled me to put everything together and get ahead.""",5.0,1,"$1,000",$50 - $99 / hr,10 - 49,"Hoylake,

United Kingdom",service_focus,https://clutch.co/profile/split-atom,https://www.splitanatom.com
